id;user_id;call_time;geo_point_id;edit_card_date;reason;bcc;first_name;middle_name;last_name;born_date;sex;residence;phone_number;org_name;snils;polis;passport
;2;2021-06-18 18:21:00;1;1984-12-28;Кашель;Инвалид;Сергей;Иванович;Лукьяненко;1984-12-24;1;ул. 70 лет Октября,10/3 - кв.21;89631456897;Капитал МС;37749851412;1895739724683175;4021 6118 489135
;2;2022-03-21 09:35:00;2;2001-10-19;Боль в горле;;Артем;Иванович;Грибоедов;2001-10-15;1;ул. Конева,14/1 - кв.53;89831562457;АльфаСтрахование-ОМС;87365491347;6437951349675845;3421 1314 4786
;2;2021-07-03 13:57:00;3;2000-12-14;Тошнота;;Иван;Сергеевич;Товба;2000-12-10;1;ул. 10 лет Октрября,70/2 - кв.86;89136143591;Капитал МС;94631564794;9436149691375492;6497 3447 587616
;2;2022-05-08 15:31:00;4;1996-10-16;Температура;Инвалид;Худо;Саядович;Бакоян;1996-10-12;1;ул. Садовая,4 - кв.54;89456142497;Страховая компания «СОГАЗ-Мед;24316729154;1375496734194267;3479 2497 246973
;2;2021-04-16 10:24:00;5;2003-02-11;Мокрота;;Анна;Юрьевна;Ветрова;2003-02-07;0;ул. Ленина,12/3 - кв.67;89643719253;Страховая компания «СОГАЗ-Мед;14375994376;7921563764927345;1894 3769 519735
;2;2022-04-25 10:15:00;6;2002-09-18;Головная боль;;Максим;Дмитриевич;Петров;2002-09-14;1;ул. Вишнёвая, 27 - кв.31;89651346097;Капитал МС;19713419720;6497243591378496;2451 6734 649187
;2;2021-07-15 16:24:00;7;2003-04-18;Боль в животе;;Мария;Денисовна;Вертова;2003-07-07;0;ул. Весёлая, 6 - кв.17;89354425150;АльфаСтрахование-ОМС;99434975162;6497315487619425;2497 6724 943761
;2;2022-05-08 15:31:00;8;1997-03-27;Повышенное давление;;Кирилл;Александрович;Вельмакин;1997-03-23;1;ул. Сосновая,11 - кв.35;89461379141;Страховая компания «СОГАЗ-Мед;35467643491;2346789124375845;6479 3465 976521
;2;2020-02-04 17:33:00;9;1998-04-26;Сухость во рту;;Евгений;Витальевич;Верстаппин;1998-04-22;1;ул. 2-я Дачная,20 - кв.49;89143467894;АльфаСтрахование-ОМС;23461434682;1246765449754977;3146 6479 341624
;2;2022-07-02 11:21:00;10;1994-11-10;Головокружение;;Павел;Алексеевич;Денисов;1994-11-06;1;ул. Булгакова,3 - кв.92;87349561254;АльфаСтрахование-ОМС;69763461597;3427954792179547;3794 3146 614973
;2;2021-07-12 11:46:00;11;2006-10-18;Тяжесть в желудке;;Денис;Олегович;Павлов;2006-10-14;1;ул. Нагибина,11 - кв.24;89413479486;Капитал МС;67943146794;6497548918754973;3469 2146 349761
;2;2022-04-09 13:41:00;12;2001-03-19;Симптомы ОРВИ;;Илья;Ярославович;Хребтов;2001-03-15;1;ул. Степанца,10/5 - кв.34;86143149572;Страховая компания «СОГАЗ-Мед;24975437921;4579451213464795;9754 3476 275499
;2;2020-02-10 17:11:00;13;2008-12-17;Диарея;;Платон;Андреевич;Веревкин;2008-12-13;1;ул. Ватутина, 33 - кв.59;89643759145;Капитал МС;54973548947;5976413179215764;3794 2179 479614
;2;2021-09-15 19:27:00;14;2002-05-24;Судороги;;Александра;Михайловна;Васильева;2002-05-20;0;ул. Крупской,13A - кв.41;89672941631;Страховая компания «СОГАЗ-Мед;34678954975;8467642079157945;5794 4721 957314
